Идентификатор записи,Фасет,Код позиции,Уникальный код (составной ключ),Наименование,Описание,Дата актуализации,Дата деактуализации,Номер изменения (актуализации),Номер изменения (деактуализации),Дата введения в действие,Статус записи
1,003,0239,003010239,Камерунцы,,2014-12-12,,0,,2015-07-01,Актуальный
2,003,0240,003010240,Канадцы,,2014-12-12,,0,,2015-07-01,Актуальный
3,003,0241,003010241,Кенийцы,,2014-12-12,,0,,2015-07-01,Актуальный
4,003,0242,003010242,Киприоты,,2014-12-12,,0,,2015-07-01,Актуальный
5,003,0243,003010243,Кистины,,2014-12-12,,0,,2015-07-01,Актуальный
6,003,0244,003010244,Колумбийцы,,2014-12-12,,0,,2015-07-01,Актуальный
7,003,0245,003010245,Коморцы,,2014-12-12,,0,,2015-07-01,Актуальный
8,003,0246,003010246,Конголезцы,,2014-12-12,,0,,2015-07-01,Актуальный
9,003,0247,003010247,Костариканцы,,2014-12-12,,0,,2015-07-01,Актуальный
10,003,0248,003010248,Котдивуарцы,,2014-12-12,,0,,2015-07-01,Актуальный
11,003,0249,003010249,Ланкийцы,,2014-12-12,,0,,2015-07-01,Актуальный
12,003,0250,003010250,Лаосцы,,2014-12-12,,0,,2015-07-01,Актуальный
13,003,0251,003010251,Лесотцы,,2014-12-12,,0,,2015-07-01,Актуальный
14,003,0252,003010252,Либерийцы,,2014-12-12,,0,,2015-07-01,Актуальный
15,003,0253,003010253,Лихтенштейнцы,,2014-12-12,,0,,2015-07-01,Актуальный
16,003,0254,003010254,Люксембуржцы,,2014-12-12,,0,,2015-07-01,Актуальный
17,003,0255,003010255,Маврикийцы,,2014-12-12,,0,,2015-07-01,Актуальный
18,003,0256,003010256,Малавийцы,,2014-12-12,,0,,2015-07-01,Актуальный
19,003,0257,003010257,Малагасийцы,,2014-12-12,,0,,2015-07-01,Актуальный
20,003,0258,003010258,Малайцы,,2014-12-12,,0,,2015-07-01,Актуальный
21,003,0259,003010259,Малийцы,,2014-12-12,,0,,2015-07-01,Актуальный
22,003,0260,003010260,Мальдивцы,,2014-12-12,,0,,2015-07-01,Актуальный
23,003,0261,003010261,Маньчжуры,,2014-12-12,,0,,2015-07-01,Актуальный
24,003,0262,003010262,Мексиканцы,,2014-12-12,,0,,2015-07-01,Актуальный
25,003,0263,003010263,Мозамбикцы,,2014-12-12,,0,,2015-07-01,Актуальный
26,003,0264,003010264,Монегаски,,2014-12-12,,0,,2015-07-01,Актуальный
27,003,0265,003010265,Намибийцы,,2014-12-12,,0,,2015-07-01,Актуальный
28,003,0266,003010266,Непальцы,,2014-12-12,,0,,2015-07-01,Актуальный
29,003,0267,003010267,Нигерийцы,,2014-12-12,,0,,2015-07-01,Актуальный
30,003,0268,003010268,Нигерцы,,2014-12-12,,0,,2015-07-01,Актуальный
31,003,0269,003010269,Никарагуанцы,,2014-12-12,,0,,2015-07-01,Актуальный
32,003,0270,003010270,Новогвинейцы,,2014-12-12,,0,,2015-07-01,Актуальный
33,003,0271,003010271,Новозеландцы,,2014-12-12,,0,,2015-07-01,Актуальный
34,003,0272,003010272,Норвежцы,,2014-12-12,,0,,2015-07-01,Актуальный
35,003,0273,003010273,Панамцы,,2014-12-12,,0,,2015-07-01,Актуальный
36,003,0274,003010274,Парагвайцы,,2014-12-12,,0,,2015-07-01,Актуальный
37,003,0275,003010275,Перуанцы,,2014-12-12,,0,,2015-07-01,Актуальный
38,003,0276,003010276,Полинезийцы,,2014-12-12,,0,,2015-07-01,Актуальный
39,003,0277,003010277,Португальцы,,2014-12-12,,0,,2015-07-01,Актуальный
40,003,0278,003010278,Пуэрториканцы,,2014-12-12,,0,,2015-07-01,Актуальный
41,003,0279,003010279,Россияне,,2014-12-12,,0,,2015-07-01,Актуальный
42,003,0280,003010280,Руандийцы,,2014-12-12,,0,,2015-07-01,Актуальный
43,003,0281,003010281,Сальвадорцы,,2014-12-12,,0,,2015-07-01,Актуальный
44,003,0282,003010282,Сантомийцы,,2014-12-12,,0,,2015-07-01,Актуальный
45,003,0283,003010283,Сенегальцы,,2014-12-12,,0,,2015-07-01,Актуальный
46,003,0284,003010284,Сибо,,2014-12-12,,0,,2015-07-01,Актуальный
47,003,0285,003010285,Сомалийцы,,2014-12-12,,0,,2015-07-01,Актуальный
48,003,0286,003010286,Суданцы,,2014-12-12,,0,,2015-07-01,Актуальный
49,003,0287,003010287,Сьерралеонцы,,2014-12-12,,0,,2015-07-01,Актуальный
50,003,0288,003010288,Таиландцы,,2014-12-12,,0,,2015-07-01,Актуальный
51,003,0289,003010289,Танзанийцы,,2014-12-12,,0,,2015-07-01,Актуальный
52,003,0290,003010290,Тоголезцы,,2014-12-12,,0,,2015-07-01,Актуальный
53,003,0291,003010291,Тонганцы,,2014-12-12,,0,,2015-07-01,Актуальный
54,003,0292,003010292,Тюрки,,2014-12-12,,0,,2015-07-01,Актуальный
55,003,0293,003010293,Угандийцы,,2014-12-12,,0,,2015-07-01,Актуальный
56,003,0294,003010294,Уругвайцы,,2014-12-12,,0,,2015-07-01,Актуальный
57,003,0295,003010295,Филиппинцы,,2014-12-12,,0,,2015-07-01,Актуальный
58,003,0296,003010296,Чадцы,,2014-12-12,,0,,2015-07-01,Актуальный
59,003,0297,003010297,Чилийцы,,2014-12-12,,0,,2015-07-01,Актуальный
60,003,0298,003010298,Шведы,,2014-12-12,,0,,2015-07-01,Актуальный
61,003,0299,003010299,Швейцарцы,,2014-12-12,,0,,2015-07-01,Актуальный
62,003,0300,003010300,Эквадорцы,,2014-12-12,,0,,2015-07-01,Актуальный
63,003,0301,003010301,Экваторианцы,,2014-12-12,,0,,2015-07-01,Актуальный
64,003,0302,003010302,Эритрейцы,,2014-12-12,,0,,2015-07-01,Актуальный
65,003,0303,003010303,Эфиопы,,2014-12-12,,0,,2015-07-01,Актуальный
66,003,0304,003010304,Югославы,,2014-12-12,,0,,2015-07-01,Актуальный
67,003,0305,003010305,Южноафриканцы,,2014-12-12,,0,,2015-07-01,Актуальный
68,003,0306,003010306,Ямайцы,,2014-12-12,,0,,2015-07-01,Актуальный
69,003,0307,003010307,Прочие национальности,,2014-12-12,,0,,2015-07-01,Актуальный
70,004,,004000000,Фасет 04 Языки народов Российской Федерации и иностранные языки,,2014-12-12,,0,,2015-07-01,Актуальный
71,004,0001,004000001,Абазинский,,2014-12-12,,0,,2015-07-01,Актуальный
72,004,0002,004000002,Абхазский,,2014-12-12,,0,,2015-07-01,Актуальный
73,004,0003,004000003,Аварский,,2014-12-12,,0,,2015-07-01,Актуальный
74,004,0004,004000004,Агульский,,2014-12-12,,0,,2015-07-01,Актуальный
75,004,0005,004000005,Адыгейский,,2014-12-12,,0,,2015-07-01,Актуальный
76,004,0006,004000006,Адыгский,,2014-12-12,,0,,2015-07-01,Актуальный
77,004,0007,004000007,Азербайджанский,,2014-12-12,,0,,2015-07-01,Актуальный
78,004,0008,004000008,Аймара,,2014-12-12,,0,,2015-07-01,Актуальный
79,004,0009,004000009,Айнский,,2014-12-12,,0,,2015-07-01,Актуальный
80,004,0010,004000010,Алабугатско-татарский,,2014-12-12,,0,,2015-07-01,Актуальный
81,004,0011,004000011,Албанский,,2014-12-12,,0,,2015-07-01,Актуальный
82,004,0012,004000012,Алеутский,,2014-12-12,,0,,2015-07-01,Актуальный
83,004,0013,004000013,Алтайский,,2014-12-12,,0,,2015-07-01,Актуальный
84,004,0014,004000014,Алюторский,,2014-12-12,,0,,2015-07-01,Актуальный
85,004,0015,004000015,Амхарский,,2014-12-12,,0,,2015-07-01,Актуальный
86,004,0016,004000016,Английский,,2014-12-12,,0,,2015-07-01,Актуальный
87,004,0017,004000017,Ангольский,,2014-12-12,,0,,2015-07-01,Актуальный
88,004,0018,004000018,Андийски,,2014-12-12,,0,,2015-07-01,Актуальный
89,004,0019,004000019,Арабский,,2014-12-12,,0,,2015-07-01,Актуальный
90,004,0020,004000020,Армянский,,2014-12-12,,0,,2015-07-01,Актуальный
91,004,0021,004000021,Арчинский,,2014-12-12,,0,,2015-07-01,Актуальный
92,004,0022,004000022,Ассамский,,2014-12-12,,0,,2015-07-01,Актуальный
93,004,0023,004000023,Ассирийский,,2014-12-12,,0,,2015-07-01,Актуальный
94,004,0024,004000024,Афар,,2014-12-12,,0,,2015-07-01,Актуальный
95,004,0025,004000025,Африкаанс,,2014-12-12,,0,,2015-07-01,Актуальный
96,004,0026,004000026,Ахвахский,,2014-12-12,,0,,2015-07-01,Актуальный
97,004,0027,004000027,Ашанти,,2014-12-12,,0,,2015-07-01,Актуальный
98,004,0028,004000028,Багвалинский,,2014-12-12,,0,,2015-07-01,Актуальный
99,004,0029,004000029,Бакве,,2014-12-12,,0,,2015-07-01,Актуальный
100,004,0030,004000030,Баланте,,2014-12-12,,0,,2015-07-01,Актуальный
101,004,0031,004000031,Балийский,,2014-12-12,,0,,2015-07-01,Актуальный
102,004,0032,004000032,Бамана,,2014-12-12,,0,,2015-07-01,Актуальный
103,004,0033,004000033,Бамилеке,,2014-12-12,,0,,2015-07-01,Актуальный
104,004,0034,004000034,Банту,,2014-12-12,,0,,2015-07-01,Актуальный
105,004,0035,004000035,Бартангский,,2014-12-12,,0,,2015-07-01,Актуальный
106,004,0036,004000036,Баскский,,2014-12-12,,0,,2015-07-01,Актуальный
107,004,0037,004000037,Бауле,,2014-12-12,,0,,2015-07-01,Актуальный
108,004,0038,004000038,Бафут,,2014-12-12,,0,,2015-07-01,Актуальный
109,004,0039,004000039,Башкирский,,2014-12-12,,0,,2015-07-01,Актуальный
110,004,0040,004000040,Бежтинский,,2014-12-12,,0,,2015-07-01,Актуальный
111,004,0041,004000041,Белорусский,,2014-12-12,,0,,2015-07-01,Актуальный
112,004,0042,004000042,Белуджский,,2014-12-12,,0,,2015-07-01,Актуальный
113,004,0043,004000043,Бельгийский,,2014-12-12,,0,,2015-07-01,Актуальный
114,004,0044,004000044,Бемба,,2014-12-12,,0,,2015-07-01,Актуальный
115,004,0045,004000045,Бенгали,,2014-12-12,,0,,2015-07-01,Актуальный
116,004,0046,004000046,Бенинский,,2014-12-12,,0,,2015-07-01,Актуальный
117,004,0047,004000047,Берберский,,2014-12-12,,0,,2015-07-01,Актуальный
118,004,0048,004000048,Бете,,2014-12-12,,0,,2015-07-01,Актуальный
119,004,0049,004000049,Бирманский,,2014-12-12,,0,,2015-07-01,Актуальный
120,004,0050,004000050,Бихарский,,2014-12-12,,0,,2015-07-01,Актуальный
121,004,0051,004000051,Болгарский,,2014-12-12,,0,,2015-07-01,Актуальный
122,004,0052,004000052,Ботлихский,,2014-12-12,,0,,2015-07-01,Актуальный
123,004,0053,004000053,Бретонский,,2014-12-12,,0,,2015-07-01,Актуальный
124,004,0054,004000054,Бурятский,,2014-12-12,,0,,2015-07-01,Актуальный
125,004,0055,004000055,Ваи,,2014-12-12,,0,,2015-07-01,Актуальный
126,004,0180,004000180,Норвежский,,2014-12-12,,0,,2015-07-01,Актуальный
127,004,0181,004000181,Нуба,,2014-12-12,,0,,2015-07-01,Актуальный
128,004,0182,004000182,Нуристани,,2014-12-12,,0,,2015-07-01,Актуальный
129,004,0183,004000183,Ньянджа,,2014-12-12,,0,,2015-07-01,Актуальный
130,004,0184,004000184,Оромо,,2014-12-12,,0,,2015-07-01,Актуальный
131,004,0185,004000185,Орочский,,2014-12-12,,0,,2015-07-01,Актуальный
132,004,0186,004000186,Осетинский,,2014-12-12,,0,,2015-07-01,Актуальный
133,004,0187,004000187,Пакистанский,,2014-12-12,,0,,2015-07-01,Актуальный
134,004,0188,004000188,Памирский,,2014-12-12,,0,,2015-07-01,Актуальный
135,004,0189,004000189,Панджаби,,2014-12-12,,0,,2015-07-01,Актуальный
136,004,0190,004000190,Папель,,2014-12-12,,0,,2015-07-01,Актуальный
137,004,0191,004000191,Персидский,,2014-12-12,,0,,2015-07-01,Актуальный
138,004,0192,004000192,Польский,,2014-12-12,,0,,2015-07-01,Актуальный
139,004,0193,004000193,Португальский,,2014-12-12,,0,,2015-07-01,Актуальный
140,004,0194,004000194,Пушту,,2014-12-12,,0,,2015-07-01,Актуальный
141,004,0195,004000195,Ретороманский,,2014-12-12,,0,,2015-07-01,Актуальный
142,004,0196,004000196,Руанда,,2014-12-12,,0,,2015-07-01,Актуальный
143,004,0197,004000197,Румынский,,2014-12-12,,0,,2015-07-01,Актуальный
144,004,0198,004000198,Русинский,,2014-12-12,,0,,2015-07-01,Актуальный
145,004,0199,004000199,Русский,,2014-12-12,,0,,2015-07-01,Актуальный
146,004,0200,004000200,Русский жестовый язык глухих,,2014-12-12,,0,,2015-07-01,Актуальный
147,004,0201,004000201,Рутульский,,2014-12-12,,0,,2015-07-01,Актуальный
148,004,0202,004000202,Рушанский,,2014-12-12,,0,,2015-07-01,Актуальный
149,004,0203,004000203,Саамский,,2014-12-12,,0,,2015-07-01,Актуальный
150,004,0204,004000204,Самоанский,,2014-12-12,,0,,2015-07-01,Актуальный
151,004,0205,004000205,Санго,,2014-12-12,,0,,2015-07-01,Актуальный
152,004,0206,004000206,Сара,,2014-12-12,,0,,2015-07-01,Актуальный
153,004,0207,004000207,Сванский,,2014-12-12,,0,,2015-07-01,Актуальный
154,004,0208,004000208,Селькупский,,2014-12-12,,0,,2015-07-01,Актуальный
155,004,0209,004000209,Сербскохорватский,,2014-12-12,,0,,2015-07-01,Актуальный
156,004,0210,004000210,Сесото,,2014-12-12,,0,,2015-07-01,Актуальный
157,004,0211,004000211,Сетсвана,,2014-12-12,,0,,2015-07-01,Актуальный
158,004,0212,004000212,Сималур,,2014-12-12,,0,,2015-07-01,Актуальный
159,004,0213,004000213,Сингальский,,2014-12-12,,0,,2015-07-01,Актуальный
160,004,0214,004000214,Синдхи,,2014-12-12,,0,,2015-07-01,Актуальный
161,004,0215,004000215,Сиреникский,,2014-12-12,,0,,2015-07-01,Актуальный
162,004,0216,004000216,Словацкий,,2014-12-12,,0,,2015-07-01,Актуальный
163,004,0217,004000217,Словенский,,2014-12-12,,0,,2015-07-01,Актуальный
164,004,0218,004000218,Словио,,2014-12-12,,0,,2015-07-01,Актуальный
165,004,0219,004000219,Сомали,,2014-12-12,,0,,2015-07-01,Актуальный
166,004,0220,004000220,Суахили,,2014-12-12,,0,,2015-07-01,Актуальный
167,004,0221,004000221,Суринамский,,2014-12-12,,0,,2015-07-01,Актуальный
168,004,0222,004000222,Табасаранский,,2014-12-12,,0,,2015-07-01,Актуальный
169,004,0223,004000223,Тагальский,,2014-12-12,,0,,2015-07-01,Актуальный
170,004,0224,004000224,Таджикский,,2014-12-12,,0,,2015-07-01,Актуальный
171,004,0225,004000225,Тайский,,2014-12-12,,0,,2015-07-01,Актуальный
172,004,0226,004000226,Талышский,,2014-12-12,,0,,2015-07-01,Актуальный
173,004,0227,004000227,Тамильский,,2014-12-12,,0,,2015-07-01,Актуальный
174,004,0228,004000228,Татарский,,2014-12-12,,0,,2015-07-01,Актуальный
175,004,0229,004000229,Татский,,2014-12-12,,0,,2015-07-01,Актуальный
176,004,0230,004000230,Телеутский,,2014-12-12,,0,,2015-07-01,Актуальный
177,004,0231,004000231,Темне,,2014-12-12,,0,,2015-07-01,Актуальный
178,004,0232,004000232,Тибетский,,2014-12-12,,0,,2015-07-01,Актуальный
179,004,0233,004000233,Тигре,,2014-12-12,,0,,2015-07-01,Актуальный
180,004,0234,004000234,Тигринья,,2014-12-12,,0,,2015-07-01,Актуальный
181,004,0235,004000235,Тиндальский,,2014-12-12,,0,,2015-07-01,Актуальный
182,004,0236,004000236,Токписин,,2014-12-12,,0,,2015-07-01,Актуальный
183,004,0237,004000237,Тонганский,,2014-12-12,,0,,2015-07-01,Актуальный
184,004,0238,004000238,Тофаларский,,2014-12-12,,0,,2015-07-01,Актуальный
185,004,0239,004000239,Тубаларский,,2014-12-12,,0,,2015-07-01,Актуальный
186,004,0240,004000240,Тувинский,,2014-12-12,,0,,2015-07-01,Актуальный
187,004,0241,004000241,Турецкий,,2014-12-12,,0,,2015-07-01,Актуальный
188,004,0242,004000242,Туркменский,,2014-12-12,,0,,2015-07-01,Актуальный
189,004,0243,004000243,Тхо,,2014-12-12,,0,,2015-07-01,Актуальный
190,004,0244,004000244,Тюркский,,2014-12-12,,0,,2015-07-01,Актуальный
191,004,0245,004000245,Удинский,,2014-12-12,,0,,2015-07-01,Актуальный
192,004,0246,004000246,Удмуртский,,2014-12-12,,0,,2015-07-01,Актуальный
193,004,0247,004000247,Удэгейский,,2014-12-12,,0,,2015-07-01,Актуальный
194,004,0248,004000248,Узбекский,,2014-12-12,,0,,2015-07-01,Актуальный
195,004,0249,004000249,Уйгурский,,2014-12-12,,0,,2015-07-01,Актуальный
196,004,0250,004000250,Уйльта,,2014-12-12,,0,,2015-07-01,Актуальный
197,004,0251,004000251,Украинский,,2014-12-12,,0,,2015-07-01,Актуальный
198,004,0252,004000252,Ульчский,,2014-12-12,,0,,2015-07-01,Актуальный
199,004,0253,004000253,Урду,,2014-12-12,,0,,2015-07-01,Актуальный
200,004,0254,004000254,Фанг,,2014-12-12,,0,,2015-07-01,Актуальный
201,004,0255,004000255,Фиджийский,,2014-12-12,,0,,2015-07-01,Актуальный
202,004,0256,004000256,Финский,,2014-12-12,,0,,2015-07-01,Актуальный
203,004,0257,004000257,Фон,,2014-12-12,,0,,2015-07-01,Актуальный
204,004,0258,004000258,Французский,,2014-12-12,,0,,2015-07-01,Актуальный
205,004,0259,004000259,Фризский,,2014-12-12,,0,,2015-07-01,Актуальный
206,004,0260,004000260,Фула,,2014-12-12,,0,,2015-07-01,Актуальный
207,004,0261,004000261,Хакасский,,2014-12-12,,0,,2015-07-01,Актуальный
208,004,0262,004000262,Хантыйский,,2014-12-12,,0,,2015-07-01,Актуальный
209,004,0263,004000263,Харари,,2014-12-12,,0,,2015-07-01,Актуальный
210,004,0264,004000264,Хауса,,2014-12-12,,0,,2015-07-01,Актуальный
211,004,0265,004000265,Хваршинский,,2014-12-12,,0,,2015-07-01,Актуальный
212,004,0266,004000266,Хинди,,2014-12-12,,0,,2015-07-01,Актуальный
213,004,0267,004000267,Хири-моту,,2014-12-12,,0,,2015-07-01,Актуальный
214,004,0268,004000268,Цахурский,,2014-12-12,,0,,2015-07-01,Актуальный
215,004,0269,004000269,Цезский,,2014-12-12,,0,,2015-07-01,Актуальный
216,004,0270,004000270,Цыганский,,2014-12-12,,0,,2015-07-01,Актуальный
217,004,0271,004000271,Чамалинский,,2014-12-12,,0,,2015-07-01,Актуальный
218,004,0272,004000272,Челканский,,2014-12-12,,0,,2015-07-01,Актуальный
219,004,0273,004000273,Чеченский,,2014-12-12,,0,,2015-07-01,Актуальный
220,004,0274,004000274,Чешский,,2014-12-12,,0,,2015-07-01,Актуальный
221,004,0275,004000275,Чувашский,,2014-12-12,,0,,2015-07-01,Актуальный
222,004,0276,004000276,Чукотский,,2014-12-12,,0,,2015-07-01,Актуальный
223,004,0277,004000277,Чулымско-тюркский,,2014-12-12,,0,,2015-07-01,Актуальный
224,004,0278,004000278,Шведский,,2014-12-12,,0,,2015-07-01,Актуальный
225,004,0279,004000279,Шона,,2014-12-12,,0,,2015-07-01,Актуальный
226,004,0280,004000280,Шорский,,2014-12-12,,0,,2015-07-01,Актуальный
227,004,0281,004000281,Шугнанский,,2014-12-12,,0,,2015-07-01,Актуальный
228,004,0282,004000282,Эве,,2014-12-12,,0,,2015-07-01,Актуальный
229,004,0283,004000283,Эвенкийский,,2014-12-12,,0,,2015-07-01,Актуальный
230,004,0284,004000284,Эвенский,,2014-12-12,,0,,2015-07-01,Актуальный
231,004,0285,004000285,Эдо,,2014-12-12,,0,,2015-07-01,Актуальный
232,004,0286,004000286,Энецкий,,2014-12-12,,0,,2015-07-01,Актуальный
233,004,0287,004000287,Эрзя-мордовский,,2014-12-12,,0,,2015-07-01,Актуальный
234,004,0288,004000288,Эскимосский,,2014-12-12,,0,,2015-07-01,Актуальный
235,004,0289,004000289,Эсперанто,,2014-12-12,,0,,2015-07-01,Актуальный
236,004,0290,004000290,Эстонский,,2014-12-12,,0,,2015-07-01,Актуальный
237,004,0291,004000291,Югский,,2014-12-12,,0,,2015-07-01,Актуальный
238,004,0292,004000292,Юитский,,2014-12-12,,0,,2015-07-01,Актуальный
239,004,0293,004000293,Юкагирский,,2014-12-12,,0,,2015-07-01,Актуальный
240,004,0294,004000294,Юртовско-татарский,,2014-12-12,,0,,2015-07-01,Актуальный
241,004,0295,004000295,Ягнобский,,2014-12-12,,0,,2015-07-01,Актуальный
242,004,0296,004000296,Язгулемский,,2014-12-12,,0,,2015-07-01,Актуальный
243,004,0297,004000297,Якутский,,2014-12-12,,0,,2015-07-01,Актуальный
244,004,0298,004000298,Японский,,2014-12-12,,0,,2015-07-01,Актуальный
245,004,0299,004000299,Другие языки,,2014-12-12,,0,,2015-07-01,Актуальный
246,005,,005000000,Фасет 05 Степень знания иностранных языков и языков народов Российской Федерации,,2014-12-12,,0,,2015-07-01,Актуальный
247,005,0001,005000001,Читает и переводит со словарем,,2014-12-12,,0,,2015-07-01,Актуальный
248,005,0002,005000002,Читает и может объясняться,,2014-12-12,,0,,2015-07-01,Актуальный
249,004,0056,004000056,Валлийский,,2014-12-12,,0,,2015-07-01,Актуальный
250,004,0057,004000057,Ваханский,,2014-12-12,,0,,2015-07-01,Актуальный
251,004,0058,004000058,Венгерский,,2014-12-12,,0,,2015-07-01,Актуальный
252,004,0059,004000059,Вепсский,,2014-12-12,,0,,2015-07-01,Актуальный
253,004,0060,004000060,Водский,,2014-12-12,,0,,2015-07-01,Актуальный
254,004,0061,004000061,Волоф,,2014-12-12,,0,,2015-07-01,Актуальный
255,004,0062,004000062,Вьетнамский,,2014-12-12,,0,,2015-07-01,Актуальный
256,004,0063,004000063,Гавайский,,2014-12-12,,0,,2015-07-01,Актуальный
257,004,0064,004000064,Гагаузский,,2014-12-12,,0,,2015-07-01,Актуальный
258,004,0065,004000065,Гаитянский,,2014-12-12,,0,,2015-07-01,Актуальный
259,004,0066,004000066,Гинухский,,2014-12-12,,0,,2015-07-01,Актуальный
260,004,0067,004000067,Годоберинский,,2014-12-12,,0,,2015-07-01,Актуальный
261,004,0068,004000068,Горномарийский,,2014-12-12,,0,,2015-07-01,Актуальный
262,004,0069,004000069,Греческий,,2014-12-12,,0,,2015-07-01,Актуальный
263,004,0070,004000070,Грузинский,,2014-12-12,,0,,2015-07-01,Актуальный
264,004,0071,004000071,Гуарани,,2014-12-12,,0,,2015-07-01,Актуальный
265,004,0072,004000072,Гунзибский,,2014-12-12,,0,,2015-07-01,Актуальный
266,004,0073,004000073,Дагестанский,,2014-12-12,,0,,2015-07-01,Актуальный
267,004,0074,004000074,Даргинский,,2014-12-12,,0,,2015-07-01,Актуальный
268,004,0075,004000075,Дари,,2014-12-12,,0,,2015-07-01,Актуальный
269,004,0076,004000076,Датский,,2014-12-12,,0,,2015-07-01,Актуальный
270,004,0077,004000077,Даурский,,2014-12-12,,0,,2015-07-01,Актуальный
271,004,0078,004000078,Диула,,2014-12-12,,0,,2015-07-01,Актуальный
272,004,0079,004000079,Долганский,,2014-12-12,,0,,2015-07-01,Актуальный
273,004,0080,004000080,Дунганский,,2014-12-12,,0,,2015-07-01,Актуальный
274,004,0081,004000081,Еврейский,,2014-12-12,,0,,2015-07-01,Актуальный
275,004,0082,004000082,Зулу,,2014-12-12,,0,,2015-07-01,Актуальный
276,004,0083,004000083,Иврит,,2014-12-12,,0,,2015-07-01,Актуальный
277,004,0084,004000084,Идиш,,2014-12-12,,0,,2015-07-01,Актуальный
278,004,0085,004000085,Идо,,2014-12-12,,0,,2015-07-01,Актуальный
279,004,0086,004000086,Ижорский,,2014-12-12,,0,,2015-07-01,Актуальный
280,004,0087,004000087,Ингушский,,2014-12-12,,0,,2015-07-01,Актуальный
281,004,0088,004000088,Индонезийский,,2014-12-12,,0,,2015-07-01,Актуальный
282,004,0089,004000089,Интерлингва,,2014-12-12,,0,,2015-07-01,Актуальный
283,004,0090,004000090,Инуитский,,2014-12-12,,0,,2015-07-01,Актуальный
284,004,0091,004000091,Ирландский,,2014-12-12,,0,,2015-07-01,Актуальный
285,004,0092,004000092,Исландский,,2014-12-12,,0,,2015-07-01,Актуальный
286,004,0093,004000093,Испанский,,2014-12-12,,0,,2015-07-01,Актуальный
287,004,0094,004000094,Итальянский,,2014-12-12,,0,,2015-07-01,Актуальный
288,004,0095,004000095,Ительменский,,2014-12-12,,0,,2015-07-01,Актуальный
289,004,0096,004000096,Ишкашимский,,2014-12-12,,0,,2015-07-01,Актуальный
290,004,0097,004000097,Йоруба,,2014-12-12,,0,,2015-07-01,Актуальный
291,004,0098,004000098,Кабардино-черкесский,,2014-12-12,,0,,2015-07-01,Актуальный
292,004,0099,004000099,Кабовердийский,,2014-12-12,,0,,2015-07-01,Актуальный
293,004,0100,004000100,Казахский,,2014-12-12,,0,,2015-07-01,Актуальный
294,004,0101,004000101,Калмыцкий,,2014-12-12,,0,,2015-07-01,Актуальный
295,004,0102,004000102,Кантонский,,2014-12-12,,0,,2015-07-01,Актуальный
296,004,0103,004000103,Караимский,,2014-12-12,,0,,2015-07-01,Актуальный
297,004,0104,004000104,Каракалпакский,,2014-12-12,,0,,2015-07-01,Актуальный
298,004,0105,004000105,Каратинский,,2014-12-12,,0,,2015-07-01,Актуальный
299,004,0106,004000106,Карачаево-балкарский,,2014-12-12,,0,,2015-07-01,Актуальный
300,004,0107,004000107,Карельский,,2014-12-12,,0,,2015-07-01,Актуальный
301,004,0108,004000108,Керекский,,2014-12-12,,0,,2015-07-01,Актуальный
302,004,0109,004000109,Кетский,,2014-12-12,,0,,2015-07-01,Актуальный
303,004,0110,004000110,Кечуа,,2014-12-12,,0,,2015-07-01,Актуальный
304,004,0111,004000111,Кикуйю,,2014-12-12,,0,,2015-07-01,Актуальный
305,004,0112,004000112,Киргизский,,2014-12-12,,0,,2015-07-01,Актуальный
306,004,0113,004000113,Кистинский,,2014-12-12,,0,,2015-07-01,Актуальный
307,004,0114,004000114,Китайский,,2014-12-12,,0,,2015-07-01,Актуальный
308,004,0115,004000115,Коми,,2014-12-12,,0,,2015-07-01,Актуальный
309,004,0116,004000116,Коми-пермяцкий,,2014-12-12,,0,,2015-07-01,Актуальный
310,004,0117,004000117,Конголезский,,2014-12-12,,0,,2015-07-01,Актуальный
311,004,0118,004000118,Корейский,,2014-12-12,,0,,2015-07-01,Актуальный
312,004,0119,004000119,Корякский,,2014-12-12,,0,,2015-07-01,Актуальный
313,004,0120,004000120,Кпелле,,2014-12-12,,0,,2015-07-01,Актуальный
314,004,0121,004000121,Креоль,,2014-12-12,,0,,2015-07-01,Актуальный
315,004,0122,004000122,Креольский,,2014-12-12,,0,,2015-07-01,Актуальный
316,004,0123,004000123,Криолу,,2014-12-12,,0,,2015-07-01,Актуальный
317,004,0124,004000124,Криольский,,2014-12-12,,0,,2015-07-01,Актуальный
318,004,0125,004000125,Крызский,,2014-12-12,,0,,2015-07-01,Актуальный
319,004,0126,004000126,Крымско-татарский,,2014-12-12,,0,,2015-07-01,Актуальный
320,004,0127,004000127,Крымчакский,,2014-12-12,,0,,2015-07-01,Актуальный
321,004,0128,004000128,Кумандинский,,2014-12-12,,0,,2015-07-01,Актуальный
322,004,0129,004000129,Кумыкский,,2014-12-12,,0,,2015-07-01,Актуальный
323,004,0130,004000130,Курдский,,2014-12-12,,0,,2015-07-01,Актуальный
324,004,0131,004000131,Кхмерский,,2014-12-12,,0,,2015-07-01,Актуальный
325,004,0132,004000132,Кыпчакский,,2014-12-12,,0,,2015-07-01,Актуальный
326,004,0133,004000133,Лазский,,2014-12-12,,0,,2015-07-01,Актуальный
327,004,0134,004000134,Лакский,,2014-12-12,,0,,2015-07-01,Актуальный
328,004,0135,004000135,Ланкийский,,2014-12-12,,0,,2015-07-01,Актуальный
